psalmtitle|Ps 95. Cantate Domino|圣咏第95首|
dropcap|Cantáte Dómino cánticum novum: cantáte Dómino, omnis terra.|請衆向主同奏新歌，遍地請奏向主。|
verse|Cantáte Dómino, et benedícite nómini ejus: annuntiáte de die in diem salutáre ejus.|奏而稱頌聖名，日每傳示厥救世者。|
verse|Annuntiáte inter gentes glóriam ejus, in ómnibus pópulis mirabília ejus.|傳示異教者厥榮，於衆民厥異行。|
verse|Quóniam magnus Dóminus, et laudábilis nimis: terríbilis est super omnes deos.|蓋主大哉宜頌揚至矣，赫赫於諸偽尊之上。異教偽主皆邪魔，惟主即造諸天之主。|
verse|Quóniam omnes dii géntium dæmónia: Dóminus autem cælos fecit.|主台前拜颺穆穆然，皇皇然恪恭溥博。|
verse|Conféssio, et pulchritúdo in conspéctu ejus: sanctimónia et magnificéntia in sanctificatióne ejus.|即為欽崇聖堂。|
verse|Afférte Dómino, pátriæ géntium, afférte Dómino glóriam et honórem: afférte Dómino glóriam nómini ejus.|請萬民獻主獻主，榮福且尊敬向其名。|
verse|Tóllite hóstias, et introíte in átria ejus: adoráte Dóminum in átrio sancto ejus.|獻尊敬賫上祭物，而進主堂。欽崇主於聖庭，主台前遍地宜（易）震動。|
verse|Commoveátur a fácie ejus univérsa terra: dícite in géntibus quia Dóminus regnávit. Étenim corréxit orbem terræ qui non commovébitur: judicábit pópulos in æquitáte.|爾等向異教者曰主王矣，蓋已化定天下將永不變易。|
verse|Læténtur cæli, et exsúltet terra: commoveátur mare, et plenitúdo ejus: gaudébunt campi, et ómnia quæ in eis sunt.|其以義判萬民，上天應歡慶，下地鼓舞。|
verse|Tunc exsultábunt ómnia ligna silvárum a fácie Dómini, quia venit: quóniam venit judicáre terram.|海宇且感動與其所包涵者，凡阡陌之中皆熙熙然。|
verse|Judicábit orbem terræ in æquitáte, et pópulos in veritáte sua.|彼時山林諸木主前翔舞，蓋已降臨降臨審判遍地。判天下以義，而判眾人以真。|
gloria|Glória Patri, et Fílio, * et Spirítui Sancto.|光荣归于父，及子，及圣神。|
gloria|Sicut erat in princípio, et nunc, et semper, * et in sǽcula sæculórum. Amen.|起初如何，今日亦然，直到永远。亚孟。|
